word,shift_t1,shift_t2,shift_t3,shift_t4,shift_t5,shift_t6,shift_t7,shift_t8,shift_t9,shift_t10,shift_t11
dems,0.3579020500183105,0.2462172508239746,0.2640872597694397,0.2945605516433716,0.344461441040039,0.3271105289459228,0.352992296218872,0.3535526990890503,0.3139256238937378,0.3028613328933716,0.3149821162223816
black,0.3036139011383056,0.2550837993621826,0.2843849658966064,0.2720771431922912,0.3618608713150024,0.3177982568740845,0.2896139025688171,0.2899836897850036,0.2562165260314941,0.2189508080482483,0.4549151659011841
racist,0.3389004468917846,0.2665069699287414,0.2726704478263855,0.3306403160095215,0.3041143417358398,0.3619747161865234,0.3639643788337707,0.3500707149505615,0.2723250389099121,0.270196795463562,0.4205642938613891
congress,0.2655619978904724,0.2251320481300354,0.2233365774154663,0.236180305480957,0.3320159912109375,0.254686951637268,0.277688980102539,0.2518920302391052,0.2018605470657348,0.2009994983673095,0.2646495103836059
politics,0.3143531084060669,0.2481768131256103,0.2928131818771362,0.2908786535263061,0.2696075439453125,0.3339821100234985,0.2988450527191162,0.2853162884712219,0.2339138984680175,0.2354731559753418,0.3542177677154541
rules,0.2447932958602905,0.2366644740104675,0.1950286626815796,0.2782958745956421,0.2784156799316406,0.3234573602676391,0.316881000995636,0.3111187815666199,0.360693097114563,0.2698662281036377,0.2507184743881225
bill,0.2632546424865722,0.1970815658569336,0.2384395599365234,0.2598280906677246,0.3060821294784546,0.2351952791213989,0.2240666151046753,0.2128716111183166,0.2264171838760376,0.1936306357383728,0.2664768099784851
court,0.3233914375305176,0.2249490022659301,0.2341894507408142,0.2731355428695678,0.2406632900238037,0.2466176152229309,0.2714507579803467,0.2681307792663574,0.2384694814682006,0.188315749168396,0.2864811420440674
laws,0.2485093474388122,0.1808974742889404,0.2117152214050293,0.2469502091407776,0.2242864370346069,0.2230701446533203,0.2440990209579467,0.2708319425582886,0.2229739427566528,0.1911989450454712,0.2487871050834655
supporters,0.3191226720809936,0.3247812986373901,0.3265596628189087,0.2925131320953369,0.2619381546974182,0.3318656086921692,0.3443816900253296,0.3992198705673218,0.2837462425231933,0.2585588693618774,0.3613139986991882
history,0.2668269276618957,0.1924719810485839,0.1865822076797485,0.2500274181365967,0.2548132538795471,0.2519148588180542,0.2320711612701416,0.2451537847518921,0.2304633855819702,0.1802538633346557,0.2873746752738952
conservatives,0.2767297029495239,0.2594106197357178,0.3148350119590759,0.2872459888458252,0.4256032705307007,0.3479774594306946,0.3308725357055664,0.3773865699768066,0.3303366303443908,0.3560372591018677,0.4548851251602173
literally,0.341198980808258,0.2915092706680298,0.3430570960044861,0.3473230600357055,0.3575997948646545,0.2960577011108398,0.3251903653144836,0.3334777355194092,0.2848322987556457,0.262404203414917,0.3370348811149597
regarding,0.3630456924438476,0.2571309804916382,0.2525461912155151,0.276174247264862,0.4635551571846008,0.5019963979721069,0.4519949555397033,0.507490873336792,0.4771814346313476,0.5574032068252563,0.5439714193344116
federal,0.2846773862838745,0.2326087355613708,0.3125859498977661,0.2843678593635559,0.3171555399894714,0.3329624533653259,0.3133587837219238,0.2797045111656189,0.2540847063064575,0.2543317079544067,0.3023752570152282
policy,0.3130724430084228,0.322015106678009,0.3352662324905395,0.3008953332901001,0.2848193645477295,0.3028559684753418,0.2445000410079956,0.2824641466140747,0.2406026721000671,0.2355256080627441,0.3769925832748413
health,0.2963240146636963,0.2307758331298828,0.2044663429260254,0.2289207577705383,0.2899742722511291,0.2712531089782715,0.2813881635665893,0.2306092977523803,0.2563475370407104,0.2313590049743652,0.3023532629013061
taxes,0.1802828311920166,0.1637870073318481,0.1497077941894531,0.1821067333221435,0.1987926959991455,0.2560330629348755,0.1970860362052917,0.2143232822418213,0.2080593705177307,0.1663309931755066,0.2200230360031128
liberals,0.3472188711166382,0.3104341030120849,0.4067074060440063,0.3723742365837097,0.450190007686615,0.3786538243293762,0.3618811368942261,0.4793426394462585,0.3463281393051147,0.3901277780532837,0.4602358341217041
poor,0.267231285572052,0.223605215549469,0.2389377355575561,0.2592381238937378,0.2684193849563598,0.2738834619522095,0.293096661567688,0.3082912564277649,0.2522313594818115,0.2470153570175171,0.3450362682342529
voter,0.2172778844833374,0.194060206413269,0.1691312789916992,0.2206074595451355,0.2164692878723144,0.1976701021194458,0.2236576080322265,0.2550293803215027,0.219762921333313,0.1922435760498047,0.2346786856651306
fox,0.300724446773529,0.2219645977020263,0.2723495364189148,0.3233813047409057,0.4490166902542114,0.354286253452301,0.2831448316574096,0.2845443487167358,0.2506699562072754,0.2620861530303955,0.2682605981826782
evidence,0.2301393747329712,0.185895562171936,0.1818885803222656,0.2224549651145935,0.2284778356552124,0.1767897009849548,0.1564369201660156,0.2007099390029907,0.190631091594696,0.2024404406547546,0.2409788370132446
candidates,0.2865917682647705,0.1725646257400512,0.2074272632598877,0.2289948463439941,0.2296111583709716,0.2580312490463257,0.2549450397491455,0.2615424394607544,0.2178897857666015,0.2221790552139282,0.2646138668060303
