word,cosine_similarity_R_vs_D,semantic_shift,left_count,right_count
republicans,0.7559383,0.24406171,64167,206299
supports,0.7561703,0.24382973,3294,25344
muslim,0.75646794,0.24353206,2232,29353
immunity,0.7565608,0.2434392,750,20717
americas,0.7566167,0.24338329,1846,13570
student,0.7569177,0.24308228,3799,37745
abiding,0.757005,0.24299502,538,5886
right,0.7570746,0.2429254,86593,752060
gop,0.7576031,0.24239689,32346,91455
hillarys,0.75763446,0.24236554,1808,6056
campaigned,0.7581975,0.24180251,640,3245
insane,0.7583412,0.2416588,3604,43481
muslims,0.75879383,0.24120617,2123,28720
worship,0.7592143,0.24078572,975,9043
administrations,0.7594359,0.24056411,917,6611
taxpayer,0.7596298,0.24037021,814,11984
us,0.75965154,0.24034846,78856,675673
ally,0.7598953,0.24010468,687,7218
unity,0.76024485,0.23975515,1252,10616
reporter,0.76032233,0.23967767,823,9476
morally,0.76045305,0.23954695,1384,14175
protest,0.76067054,0.23932946,2962,46019
ethnic,0.76070535,0.23929465,577,7433
combat,0.7608,0.2392,1135,11577
illegals,0.7610799,0.2389201,611,21080
mainstream,0.7615962,0.2384038,1934,25669
bernie,0.7617754,0.23822463,28639,53469
opposition,0.76185006,0.23814994,3178,24073
immigrant,0.7618822,0.23811781,1041,12035
protesters,0.7620175,0.23798251,1217,20300
west,0.7620943,0.23790568,2782,27606
lgbt,0.76209927,0.23790073,1709,11531
governors,0.7623613,0.23763871,1741,14171
europe,0.7624688,0.23753119,2164,41413
borders,0.7625418,0.23745823,1270,22589
riots,0.76258516,0.23741484,910,39985
traitors,0.76263034,0.23736966,1701,6110
civilian,0.76269203,0.23730797,923,7598
arabia,0.7629056,0.2370944,796,5812
libertarians,0.7634572,0.23654282,2472,12479
heritage,0.7634592,0.2365408,680,6253
tweet,0.7636262,0.23637378,1984,20858
mandate,0.7637112,0.23628879,1477,24044
trumps,0.76380527,0.23619473,18314,108124
result,0.7638662,0.23613381,5143,51493
terror,0.7639232,0.23607677,866,9191
joe,0.76399845,0.23600155,7917,96380
republican,0.764494,0.235506,47582,182672
hypocritical,0.764529,0.23547101,1242,14493
neighborhoods,0.76473856,0.23526144,511,8407
democratic,0.7650397,0.23496032,27148,80097
liberalism,0.7651832,0.23481679,2199,13354
america,0.7651937,0.2348063,23459,196133
lockdowns,0.76538867,0.23461133,233,20383
garbage,0.76600546,0.23399454,2829,29354
socialized,0.76602083,0.23397917,355,5175
ideology,0.7662604,0.23373961,3649,40711
sheep,0.76629174,0.23370826,558,10324
arrest,0.76629966,0.23370034,1749,22900
nra,0.7666795,0.23332047,3310,6223
overthrow,0.76675254,0.23324746,1096,5712
elite,0.7676024,0.23239762,875,12644
oppression,0.7677927,0.2322073,772,11006
incompetence,0.76801586,0.23198414,774,6471
losers,0.76825553,0.23174447,993,10730
jewish,0.7682774,0.2317226,1458,17423
midterm,0.768734,0.23126602,1194,3971
mexican,0.76967454,0.23032546,805,9981
taliban,0.7702071,0.2297929,1408,15025
invade,0.7702418,0.2297582,509,7089
declaration,0.7706019,0.22939807,516,5345
followers,0.77067673,0.22932327,2467,9271
payer,0.7709341,0.2290659,2289,9922
patients,0.7711835,0.22881651,879,18935
any,0.7713437,0.22865629,106473,722085
socialists,0.77139115,0.22860885,793,15521
kavanaugh,0.7718317,0.22816831,1679,14397
racism,0.77185756,0.22814244,7543,90066
refugees,0.7720906,0.22790939,974,10995
eastern,0.77221936,0.22778064,666,9512
brainwashed,0.772259,0.227741,1145,12915
flu,0.7725362,0.22746378,678,34675
holocaust,0.7729782,0.22702181,637,7424
segregation,0.7735134,0.22648662,488,6900
nfl,0.77355236,0.22644764,408,13239
clinton,0.7736298,0.22637022,23142,65073
enact,0.77368534,0.22631466,853,5598
legislatures,0.77410877,0.22589123,963,4671
individual,0.77411383,0.22588617,5383,57094
infected,0.7745842,0.22541583,517,14130
whites,0.77474105,0.22525895,1621,20119
community,0.7751368,0.22486317,12718,64462
believing,0.7751747,0.22482532,1720,17540
idiots,0.77557665,0.22442335,4428,41112
anti,0.77570105,0.22429895,3023,33832
victims,0.77576315,0.22423685,2168,23617
jesus,0.7760352,0.22396481,4411,33482
identity,0.77611446,0.22388554,2127,29824
white,0.77654594,0.22345406,30697,298509
patriot,0.77673984,0.22326016,1101,9723
tyranny,0.7768035,0.2231965,996,12142
billionaires,0.77680844,0.22319156,1681,8451
jefferson,0.77722406,0.22277594,423,5636
misinformation,0.7773696,0.22263038,1836,17775
cia,0.77759874,0.22240126,959,10364
colleges,0.77796185,0.22203815,671,10788
individuals,0.7779752,0.2220248,3906,39924
ideological,0.77810264,0.22189736,1131,9382
organization,0.7785157,0.2214843,3173,33481
campaigns,0.7788283,0.22117168,2354,8485
agree,0.7788938,0.22110617,26031,260015
islam,0.7791073,0.22089273,1296,25080
threatening,0.7792525,0.22074747,1515,14043
stance,0.7793493,0.22065067,2434,25207
unbiased,0.77938646,0.22061354,547,9253
council,0.77982557,0.22017443,836,7756
dumb,0.7798908,0.22010922,6038,59026
western,0.77990997,0.22009003,1404,27599
bombing,0.7807232,0.21927679,686,5452
extreme,0.7808237,0.21917629,4045,35013
equality,0.7809558,0.21904421,2371,19651
christian,0.78121924,0.21878076,5223,40632
ny,0.7812456,0.21875441,2488,25892
incompetent,0.78124815,0.21875185,1294,11998
classified,0.7815064,0.21849358,1709,12168
punishment,0.78160626,0.21839374,1390,14646
jews,0.78162825,0.21837175,1529,25510
protests,0.78165776,0.21834224,1899,38995
dictatorship,0.78198147,0.21801853,1003,5976
african,0.7821842,0.21781582,1441,16600
people,0.7822434,0.21775663,214954,2098809
homes,0.7823348,0.2176652,1408,24109
dem,0.7824242,0.21757579,5671,30480
populations,0.7825021,0.21749789,662,7436
mcconnell,0.782821,0.217179,4416,17011
disgusting,0.78293455,0.21706545,2706,29254
biased,0.7830523,0.21694767,3117,28046
nations,0.7833502,0.21664977,3008,30155
catholic,0.7837342,0.2162658,1095,20559
hypocrisy,0.78395796,0.21604204,2375,28284
restrictions,0.7842126,0.21578741,1971,21347
morality,0.7843491,0.21565092,982,14001
christians,0.7846662,0.21533382,2551,23795
lie,0.7847403,0.21525967,8409,66726
iran,0.78483963,0.21516037,2304,27424
georgia,0.7850065,0.21499348,4236,23020
germany,0.7850487,0.21495128,2133,28390
evil,0.7855727,0.21442729,5534,63967
socialist,0.7855772,0.21442282,3200,53901
ignorant,0.78566897,0.21433103,4746,34339
strategy,0.78577036,0.21422964,4323,21199
communism,0.7859973,0.21400273,1215,36018
ted,0.78618157,0.21381843,2787,24025
authoritarian,0.7863585,0.21364152,2139,19989
view,0.7865504,0.2134496,6843,64230
communist,0.7867246,0.21327537,1659,41324
overturn,0.78708947,0.21291053,1340,6714
sentiment,0.7872479,0.2127521,1241,11876
judicial,0.787342,0.21265799,1360,11637
socialism,0.7873852,0.21261477,2519,60234
soldiers,0.7876231,0.2123769,1452,16023
