word,trend,h,p,z,slope,n_obs
regime,no trend,False,0.2129119028115045,1.2455983106584367,0.0101198107004165,11
hospitals,no trend,False,0.2129119028115045,1.2455983106584367,0.0082766910394032,11
pray,no trend,False,0.2129119028115045,1.2455983106584367,0.0112035804324679,11
taliban,no trend,False,0.2514521865080219,1.1468292773139113,0.0145067473252614,9
bloomberg,no trend,False,0.2514521865080219,1.1468292773139113,0.013810709118843,9
traitor,no trend,False,0.2514521865080219,1.1468292773139113,0.0098437815904617,9
sanctions,no trend,False,0.2514521865080219,1.1468292773139113,0.0119433403015136,9
states,no trend,False,0.2757578478275093,-1.089898521826132,-0.0079846893038068,11
power,no trend,False,0.2757578478275093,-1.089898521826132,-0.0083323866128921,11
clinton,no trend,False,0.2757578478275093,1.089898521826132,0.0042930603027343,11
voter,no trend,False,0.2757578478275093,1.089898521826132,0.0020101751599992,11
rich,no trend,False,0.2757578478275093,-1.089898521826132,-0.0034615198771158,11
legal,no trend,False,0.2757578478275093,-1.089898521826132,-0.0033556669950485,11
wing,no trend,False,0.2757578478275093,1.089898521826132,0.0104030668735504,11
economic,no trend,False,0.2757578478275093,1.089898521826132,0.003297671675682,11
politicians,no trend,False,0.2757578478275093,-1.089898521826132,-0.0041635632514953,11
supreme,no trend,False,0.2757578478275093,1.089898521826132,0.0068977773189544,11
speech,no trend,False,0.2757578478275093,-1.089898521826132,-0.0039176940917968,11
criminal,no trend,False,0.2757578478275093,1.089898521826132,0.0062494959150041,11
presidency,no trend,False,0.2757578478275093,1.089898521826132,0.0050658285617828,11
legislation,no trend,False,0.2757578478275093,1.089898521826132,0.0017475230353219,11
fraud,no trend,False,0.2757578478275093,-1.089898521826132,-0.0028716772794723,11
investigation,no trend,False,0.2757578478275093,-1.089898521826132,-0.0064263343811035,11
surprised,no trend,False,0.2757578478275093,1.089898521826132,0.0022803783416748,11
opinions,no trend,False,0.2757578478275093,1.089898521826132,0.0034902890523274,11
immigrants,no trend,False,0.2757578478275093,1.089898521826132,0.0039194325606028,11
safety,no trend,False,0.2757578478275093,1.089898521826132,0.0049272775650024,11
budget,no trend,False,0.2757578478275093,1.089898521826132,0.0030779466032981,11
property,no trend,False,0.2757578478275093,1.089898521826132,0.0016436576843261,11
intelligence,no trend,False,0.2757578478275093,-1.089898521826132,-0.0050220290819803,11
cities,no trend,False,0.2757578478275093,1.089898521826132,0.0048732161521911,11
authority,no trend,False,0.2757578478275093,1.089898521826132,0.0043285489082336,11
followers,no trend,False,0.2757578478275093,-1.089898521826132,-0.0017697811126708,11
hatred,no trend,False,0.2757578478275093,1.089898521826132,0.008197546005249,11
mexico,no trend,False,0.2757578478275093,1.089898521826132,0.0036911283220563,11
muslims,no trend,False,0.2757578478275093,1.089898521826132,0.0059654882975987,11
officers,no trend,False,0.2757578478275093,1.089898521826132,0.0082610100507736,11
appears,no trend,False,0.2757578478275093,1.089898521826132,0.0050821781158447,11
governors,no trend,False,0.2757578478275093,1.089898521826132,0.0101355791091918,11
caucus,no trend,False,0.2757578478275093,1.089898521826132,0.0106042524178822,11
conflict,no trend,False,0.2757578478275093,1.089898521826132,0.0045582950115203,11
affiliation,no trend,False,0.2757578478275093,1.089898521826132,0.0118812546133995,11
elite,no trend,False,0.2757578478275093,1.089898521826132,0.0069685578346252,11
division,no trend,False,0.2831308706623465,-1.073312629199899,-0.0061253309249878,10
overthrow,no trend,False,0.2831308706623465,1.073312629199899,0.0070474318095615,10
un,no trend,False,0.2831308706623465,1.073312629199899,0.0050677955150604,10
lmao,no trend,False,0.3480826236329239,0.9383148632568366,0.0167078162942614,9
nc,no trend,False,0.3480826236329239,0.9383148632568366,0.0129573762416839,9
rnc,no trend,False,0.3480826236329239,0.9383148632568366,0.0067004412412643,9
activist,no trend,False,0.3480826236329239,0.9383148632568366,0.0127244506563459,9
votes,no trend,False,0.3502013891792956,-0.9341987329938276,-0.0029711127281189,11
media,no trend,False,0.3502013891792956,-0.9341987329938276,-0.0035205841064453,11
literally,no trend,False,0.3502013891792956,-0.9341987329938276,-0.0026681025822957,11
candidates,no trend,False,0.3502013891792956,0.9341987329938276,0.0024172067642211,11
calling,no trend,False,0.3502013891792956,0.9341987329938276,0.005238389968872,11
education,no trend,False,0.3502013891792956,-0.9341987329938276,-0.0034778714179992,11
wall,no trend,False,0.3502013891792956,0.9341987329938276,0.0060182909170786,11
freedom,no trend,False,0.3502013891792956,0.9341987329938276,0.0053689032793045,11
views,no trend,False,0.3502013891792956,0.9341987329938276,0.0029809698462486,11
propaganda,no trend,False,0.3502013891792956,0.9341987329938276,0.0042799770832061,11
california,no trend,False,0.3502013891792956,0.9341987329938276,0.0077898332050868,11
weapons,no trend,False,0.3502013891792956,0.9341987329938276,0.0055756568908691,11
ballot,no trend,False,0.3502013891792956,0.9341987329938276,0.0053691864013672,11
city,no trend,False,0.3502013891792956,0.9341987329938276,0.0049976195607866,11
funding,no trend,False,0.3502013891792956,0.9341987329938276,0.0037930965423583,11
proof,no trend,False,0.3502013891792956,0.9341987329938276,0.0028691351413726,11
values,no trend,False,0.3502013891792956,0.9341987329938276,0.0026293396949768,11
movement,no trend,False,0.3502013891792956,0.9341987329938276,0.0066835284233093,11
strategy,no trend,False,0.3502013891792956,0.9341987329938276,0.008070429166158,11
welfare,no trend,False,0.3502013891792956,0.9341987329938276,0.0056677034923008,11
