word,"shift score time: 1-9, 2009-2018","shift score time: 10-14, 2018-2023",shift_B-A
eastern,0.2937040328979492,0.284948,-0.00875603289794924
catholics,0.3176946640014648,0.30888748,-0.008807184001464796
voter,0.1569976806640625,0.148152,-0.008845680664062494
legislation,0.1517457962036132,0.14276987,-0.008975926203613205
christians,0.2395139336585998,0.23018819,-0.009325743658599811
property,0.1847738027572631,0.17524719,-0.009526612757263103
criminals,0.2333295345306396,0.22379816,-0.009531374530639597
supports,0.2234243750572204,0.21379817,-0.009626205057220394
governments,0.2212153673171997,0.21158302,-0.009632347317199697
jobs,0.1229122877120971,0.112847865,-0.010064422712097093
threat,0.1593774557113647,0.1492343,-0.010143155711364704
policy,0.1656164526939392,0.15535533,-0.010261122693939195
prolife,0.2875926494598388,0.27719426,-0.010398389459838786
literally,0.1971967816352844,0.18675119,-0.010445591635284385
defend,0.1916674971580505,0.1810646,-0.010602897158050517
firearm,0.1902463436126709,0.17946267,-0.010783673612670908
victim,0.2244943380355835,0.21364117,-0.010853168035583505
satire,0.2890599966049194,0.2781732,-0.010886796604919369
lives,0.1284025907516479,0.1171568,-0.011245790751647888
patriot,0.259708046913147,0.24829853,-0.011409516913146983
pray,0.3573198318481445,0.34584486,-0.0114749718481445
eligible,0.2394454479217529,0.22783595,-0.011609497921752893
views,0.1625340580940246,0.15091193,-0.011622128094024603
debunked,0.2423609495162964,0.23071575,-0.01164519951629639
proof,0.1764832735061645,0.16483748,-0.011645793506164487
chief,0.2319372296333313,0.2201606,-0.011776629633331287
capital,0.2080749273300171,0.19629359,-0.0117813373300171
nations,0.2559129595756531,0.24407601,-0.011836949575653066
amendment,0.1668691039085388,0.1549722,-0.011896903908538786
health,0.1295156478881836,0.11753595,-0.011979697888183594
poor,0.1611204147338867,0.14904106,-0.012079354733886688
any,0.1899755001068115,0.17788637,-0.012089130106811508
oath,0.1703667044639587,0.15795922,-0.012407484463958701
choice,0.1549996137619018,0.14257318,-0.012426433761901806
